match_date,home_odds,away_odds,H_win_index,draw_odds,result,goal_difference,SOT_difference,total_goal,over_2_5_odds,under_2_5_odds,over_under_2_5_index
23/5/2021,2,3.3,1.65,4,A,-2,2,6,1.57,2.37,1.509554
23/5/2021,1.4,6.5,4.642857,5.25,H,2,4,4,1.4,3,2.142857
23/5/2021,1.14,9.99,8.763158,8.5,H,2,1,2,1.36,3.2,2.352941
19/5/2021,1.85,4.2,2.27027,3.6,H,1,1,1,2,1.8,0.9
19/5/2021,1.72,4.75,2.761628,3.8,H,1,4,1,1.8,2,1.111111
19/5/2021,6,1.5,0.25,4.5,A,-2,3,4,1.72,2.1,1.22093
19/5/2021,5,1.6,0.32,4.33,A,-2,-5,4,1.57,2.37,1.509554
19/5/2021,1.5,6,4,4.5,A,-1,0,3,1.53,2.5,1.633987
19/5/2021,9.99,1.22,0.122122,7,A,-3,1,3,1.33,3.4,2.556391
18/5/2021,1.7,5,2.941176,3.75,H,1,3,3,2.1,1.72,0.819048
18/5/2021,7,1.45,0.207143,4.5,H,1,2,5,1.72,2.1,1.22093
18/5/2021,1.28,9,7.03125,6,D,0,1,2,1.57,2.37,1.509554
18/5/2021,2.55,2.5,0.980392,3.9,A,-2,-4,2,1.5,2.62,1.746667
16/5/2021,3,2.25,0.75,3.6,H,1,3,5,1.9,1.9,1
16/5/2021,1.5,6.5,4.333333,4.33,H,2,10,2,1.8,2,1.111111
16/5/2021,1.36,8.5,6.25,4.75,A,-1,3,1,1.8,2,1.111111
16/5/2021,9.99,1.22,0.122122,6.5,A,-1,-3,3,1.4,3,2.142857
15/5/2021,2.9,2.3,0.793103,3.6,D,0,-1,2,2,1.8,0.9
15/5/2021,2,3.6,1.8,3.6,H,2,4,4,1.9,1.9,1
15/5/2021,3.2,2.1,0.65625,3.75,A,-4,-2,4,1.66,2.2,1.325301
14/5/2021,9.99,1.25,0.125125,6,A,-1,-1,7,1.53,2.5,1.633987
13/5/2021,2.7,2.6,0.962963,3.4,D,0,-3,0,1.86,2.04,1.096774
13/5/2021,3,2.2,0.733333,3.75,A,-2,-5,6,1.72,2.1,1.22093
12/5/2021,1.65,5,3.030303,4,A,-1,3,1,2,1.8,0.9
11/5/2021,2.5,2.8,1.12,3.4,A,-1,-2,3,1.9,1.9,1
11/5/2021,2.05,3.5,1.707317,3.6,H,2,2,4,1.9,1.9,1
10/5/2021,2.2,3.3,1.5,3.4,A,-2,-2,2,2,1.8,0.9
9/5/2021,3.3,2.2,0.666667,3.3,H,1,3,3,2.3,1.61,0.7
9/5/2021,2.2,3.2,1.454545,3.5,A,-1,-3,1,1.92,1.98,1.03125
9/5/2021,4.2,1.8,0.428571,3.8,A,-2,-2,4,1.72,2.1,1.22093
9/5/2021,1.44,7,4.861111,4.5,H,2,6,4,1.72,2.1,1.22093
8/5/2021,3,2.45,0.816667,3.2,A,-2,-8,2,2.3,1.61,0.7
8/5/2021,1.9,4.2,2.210526,3.4,A,-1,-1,3,2.2,1.66,0.754545
8/5/2021,3.4,2,0.588235,3.8,H,2,4,4,1.66,2.2,1.325301
8/5/2021,1.25,9.99,7.992,6,H,2,0,2,1.44,2.75,1.909722
7/5/2021,1.4,8,5.714286,4.75,A,-2,3,6,1.72,2.1,1.22093
3/5/2021,2.9,2.5,0.862069,3.2,D,0,-6,2,2.2,1.66,0.754545
3/5/2021,3.1,2.2,0.709677,3.6,A,-1,-1,3,1.9,1.9,1
2/5/2021,3.6,2,0.555556,3.6,A,-2,-4,2,1.72,2.1,1.22093
2/5/2021,1.25,9.99,7.992,6,H,4,10,4,1.72,2.1,1.22093
1/5/2021,1.44,7.5,5.208333,4.4,H,2,2,2,2,1.8,0.9
1/5/2021,2.05,3.5,1.707317,3.5,H,2,3,2,1.9,1.9,1
1/5/2021,1.95,3.8,1.948718,3.6,A,-1,-2,3,1.94,1.96,1.010309
1/5/2021,9.99,1.33,0.133133,5,A,-2,1,2,1.72,2.1,1.22093
30/4/2021,3.8,1.9,0.5,3.8,D,0,-6,2,1.9,1.9,1
26/4/2021,1.4,8.5,6.071429,4.33,H,1,3,3,2,1.8,0.9
25/4/2021,2,3.9,1.95,3.4,A,-4,-5,4,2.3,1.61,0.7
25/4/2021,1.85,4.2,2.27027,3.6,D,0,7,4,1.9,1.9,1
25/4/2021,4,1.75,0.4375,4.2,D,0,-1,0,1.57,2.37,1.509554
24/4/2021,5.25,1.75,0.333333,3.4,H,1,-1,1,2.37,1.57,0.662447
24/4/2021,4.75,1.75,0.368421,3.6,A,-1,-4,1,2,1.8,0.9
24/4/2021,1.22,9.99,8.188525,6.5,D,0,5,2,1.53,2.5,1.633987
23/4/2021,2,3.75,1.875,3.5,A,-1,2,1,2,1.8,0.9
22/4/2021,1.53,6,3.921569,3.8,H,3,6,3,1.9,1.9,1
21/4/2021,1.75,4.5,2.571429,3.8,H,1,-2,3,1.72,2.1,1.22093
21/4/2021,9,1.36,0.151111,4.75,A,-1,0,3,1.66,2.2,1.325301
20/4/2021,1.57,6,3.821656,4,D,0,2,0,2.2,1.66,0.754545
19/4/2021,4.5,1.66,0.368889,4.33,D,0,-2,2,1.53,2.5,1.633987
18/4/2021,1.7,4.8,2.823529,3.8,D,0,4,2,2,1.8,0.9
18/4/2021,1.33,9,6.766917,5.25,H,2,6,4,1.72,2.1,1.22093
17/4/2021,1.66,5.75,3.463855,3.5,H,1,3,1,2.3,1.61,0.7
17/4/2021,3.5,2.05,0.585714,3.5,H,1,2,5,1.9,1.9,1
16/4/2021,3.4,2.1,0.617647,3.5,D,0,4,4,1.9,1.9,1
12/4/2021,2.25,3.3,1.466667,3.3,D,0,2,0,2.2,1.66,0.754545
12/4/2021,3.6,2.1,0.583333,3.3,H,3,2,3,2,1.8,0.9
11/4/2021,2.3,3.4,1.478261,3.1,A,-1,-1,3,2.5,1.53,0.612
11/4/2021,6.5,1.57,0.241538,3.75,A,-3,-3,3,2,1.8,0.9
11/4/2021,3,2.37,0.79,3.3,H,1,-1,5,1.9,1.9,1
11/4/2021,2.87,2.45,0.853659,3.4,A,-2,-4,4,1.9,1.9,1
10/4/2021,7,1.53,0.218571,3.8,A,-3,-9,5,2.1,1.72,0.819048
10/4/2021,1.5,6.5,4.333333,4.33,H,1,5,3,1.61,2.3,1.428571
